"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"DNS_ENTRY_VALUE","172.22.151.68","172.22.151.68,","Fail","1/11/2023 8:06:31 AM"
"UNISTALL_VMWARE_TOOL","Uninstalled","Uninstalled","Pass","1/11/2023 8:06:31 AM"
"UNISTALL_COMMVAULT_TOOL","Uninstalled","Uninstalled","Pass","1/11/2023 8:06:31 AM"
"C_DRIVE_EXPANDED_SIZE","256","256","Pass","1/11/2023 8:06:31 AM"
"G_DRIVE_EXPANDED_SIZE","1024",,"Fail","1/11/2023 8:06:31 AM"
"F_DRIVE_EXPANDED_SIZE","NA",,"","1/11/2023 8:06:31 AM"
"AUTOMATIC_SERVICES","0","3","Fail","1/11/2023 8:06:31 AM"
"HOST_ENTRIES_CHECK","Removed","Removed","Pass","1/11/2023 8:06:31 AM"
