"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"Resource Group","HRT_Heritage_Transport",,"Fail","1/10/2023 2:38:15 PM"
"Vnet Name","Vnet-Eastus2-HRT",,"Fail","1/10/2023 2:38:15 PM"
"Vnet Address","172.22.151.64/27",,"Fail","1/10/2023 2:38:15 PM"
"Subnet Address","172.22.151.64/27",,"Fail","1/10/2023 2:38:15 PM"
"Peering1","Peer-HRT-To-Core",,"Fail","1/10/2023 2:38:15 PM"
"Peering2","NA","NA","Pass","1/10/2023 2:38:15 PM"
"NSG FrontEnd ","NA","NA","Pass","1/10/2023 2:38:15 PM"
