Parameter,ExpectedValue
DNS_ENTRY_VALUE,172.22.151.68
UNISTALL_VMWARE_TOOL,Uninstalled
UNISTALL_COMMVAULT_TOOL,Uninstalled
C_DRIVE_EXPANDED_SIZE,256
G_DRIVE_EXPANDED_SIZE,1024
F_DRIVE_EXPANDED_SIZE,NA
AUTOMATIC_SERVICES,0
HOST_ENTRIES_CHECK,Removed
